gamma,k,fingerprint_length,n_recipients,sk,id,code,embedding_ratio,recipient_id,accuracy,marital-status-relationship,marital-status-sex,relationship-sex,income-relationship,education-education-num,age-marital-status,education-num-occupation,age-relationship
2,300,128,20,100,0,tardos,0.5,0,0.01881187105228136,0.019917881818573745,0.0033469179439977246,0.018346929758572807,0.059507038432089675,0.0010864170198700716,0.053190760107151534,0.01013212717136804,0.08705612143853206
2,300,128,20,100,1,tardos,0.5,1,0.018834392883101462,0.019462553562690502,0.0025071517782123505,0.01771832961328489,0.057474268067550884,0.001208888716915557,0.05323849637132371,0.009726742164883834,0.08623946325398782
2,300,128,20,100,2,tardos,0.5,2,0.018856914713921563,0.019393739247761544,0.006219592011025153,0.01852683078349681,0.0631879947387322,0.0017998649883135712,0.05199759922946692,0.011082496143307186,0.08511658940612106
2,300,128,20,100,3,tardos,0.5,3,0.018932669963043724,0.02013187003955349,0.0053686564435561,0.017281195037251857,0.057922194322754084,0.0010864170198700716,0.05335212144068919,0.008960541598813435,0.08146259896424268
2,300,128,20,100,4,tardos,0.5,4,0.018869199348914345,0.019979219173430804,0.004822229254369758,0.01932529709269331,0.05663875781806155,0.0011225596350084718,0.05526978434387222,0.0107188526653558,0.08132491855187145
2,300,128,20,100,5,tardos,0.5,5,0.018856914713921563,0.01952814448118102,0.002803863917241919,0.019326847168702158,0.05741395452578634,0.0011728267047677722,0.05437100867885337,0.010313199057333359,0.08623526315473083
2,300,128,20,100,6,tardos,0.5,6,0.018760685073144764,0.019338846519992303,0.003816182359079604,0.01786915591161495,0.0594765369841682,0.0010818736128309237,0.05500224944658311,0.007946564677297875,0.08519090293771846
2,300,128,20,100,7,tardos,0.5,7,0.018803681295619504,0.019981358634941344,0.006424160827298126,0.019610322310666416,0.05840509762857859,0.001136371339354694,0.0519099442427237,0.011938393413611123,0.08221087958657806
2,300,128,20,100,8,tardos,0.5,8,0.018891721179734446,0.019567079943017453,0.004734609433598139,0.018064250757196698,0.05660969260939809,0.0010635921639853992,0.05218755367218974,0.010744604718004565,0.08498927580497964
2,300,128,20,100,9,tardos,0.5,9,0.018858962153087026,0.019928740460926846,0.007089755418399549,0.01758218259653572,0.057485939807804275,0.0010818736128310347,0.056197883001039194,0.010135160140497953,0.08609214207714189
